Group,d13C,d15N
Sca_M,-29.216,10.081
Per_M,-28.181,11.401
Squ_M,-23.986,8.487
Squ_M,-26.839,8.76
Per_M,-27.22,11.106
Per_M,-25.54,9.106
Onc_M,-24.926,8.75
Sal_M,-27.686,10.862
Onc_M,-24.167,9.084
Sca_M,-28.044,9.002
Onc_M,-23.492,7.411
Squ_M,-25.797,9.602
Sca_M,-27.797,8.21
Onc_M,-24.313,8.833
Sal_M,-29.155,11.482
Sca_M,-28.803,8.807
Sca_M,-29.458,9.402
Sal_M,-33.4,10.995
Sal_M,-27.125,8.359
Squ_M,-26.27,7.809
Onc_M,-24.46,8.351
Squ_M,-26.471,8.033
Per_M,-28.512,9.05
Per_M,-26.072,9.128
Per_M,-26.993,11.112
Sal_M,-29.104,11.688
Per_M,-27.52,9.621
Per_M,-25.639,9.647
Sal_L,-32.893,10.362
Sal_L,-31.069,9.644
Sal_L,-31.499,10.108
Sal_L,-35.371,10.963
